GENE.SET	NR.GENES	NR.SIG.GENES	P.VALUE
NEGATIVE REGULATION OF CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY%GOBP%GO:0045736	24	14	0.587701317715959
NUCLEOTIDE-EXCISION REPAIR, DNA GAP FILLING%GOBP%GO:0006297	24	14	0.587701317715959
NCRNA 3'-END PROCESSING%GOBP%GO:0043628	24	14	0.587701317715959
REGULATION OF CARDIOCYTE DIFFERENTIATION%GOBP%GO:1905207	24	14	0.587701317715959
CYTOKINE SECRETION%GOBP%GO:0050663	24	14	0.587701317715959
RIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009259	276	129	0.587701317715959
CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0071363	303	141	0.587701317715959
BIOCARTA_CALCINEURIN_PATHWAY%MSIGDB_C2%BIOCARTA_CALCINEURIN_PATHWAY	18	11	0.587701317715959
CELLULAR RESPONSE TO LIPOPROTEIN PARTICLE STIMULUS%GOBP%GO:0071402	18	11	0.587701317715959
CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0043367	18	11	0.587701317715959
HYALURONAN METABOLIC PROCESS%GOBP%GO:0030212	18	11	0.587701317715959
N-GLYCAN PROCESSING%GOBP%GO:0006491	18	11	0.587701317715959
NEGATIVE REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905819	18	11	0.587701317715959
MESONEPHRIC TUBULE MORPHOGENESIS%GOBP%GO:0072171	18	11	0.587701317715959
CARDIAC ATRIUM DEVELOPMENT%GOBP%GO:0003230	18	11	0.587701317715959
POSITIVE REGULATION OF G-PROTEIN COUPLED RECEPTOR PROTEIN SIGNALING PATHWAY%GOBP%GO:0045745	18	11	0.587701317715959
NEGATIVE REGULATION OF EXOCYTOSIS%GOBP%GO:0045920	18	11	0.587701317715959
NEGATIVE REGULATION OF SMOOTHENED SIGNALING PATHWAY%GOBP%GO:0045879	18	11	0.587701317715959
NEGATIVE REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:2000816	18	11	0.587701317715959
POSITIVE REGULATION OF MUSCLE CONTRACTION%GOBP%GO:0045933	18	11	0.587701317715959
NITRIC OXIDE STIMULATES GUANYLATE CYCLASE%REACTOME%R-HSA-392154.1	22	13	0.587701317715959
REGULATION OF CHONDROCYTE DIFFERENTIATION%GOBP%GO:0032330	22	13	0.587701317715959
NEGATIVE REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0031111	22	13	0.587701317715959
REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0030947	22	13	0.587701317715959
CELLULAR EXTRAVASATION%GOBP%GO:0045123	22	13	0.587701317715959
REGULATION OF MONOCYTE CHEMOTAXIS%GOBP%GO:0090025	22	13	0.587701317715959
NEGATIVE REGULATION OF OSTEOBLAST DIFFERENTIATION%GOBP%GO:0045668	22	13	0.587701317715959
ADP SIGNALLING THROUGH P2Y PURINOCEPTOR 1%REACTOME%R-HSA-418592.2	20	12	0.587701317715959
NUCLEOTIDE SALVAGE%REACTOME DATABASE ID RELEASE 65%8956321	20	12	0.587701317715959
RUNX2 REGULATES OSTEOBLAST DIFFERENTIATION%REACTOME DATABASE ID RELEASE 65%8940973	20	12	0.587701317715959
SEGMENTATION%GOBP%GO:0035282	20	12	0.587701317715959
EPIBOLY%GOBP%GO:0090504	20	12	0.587701317715959
HEXOSE TRANSMEMBRANE TRANSPORT%GOBP%GO:0008645	20	12	0.587701317715959
PID_REG_GR_PATHWAY%MSIGDB_C2%PID_REG_GR_PATHWAY	66	34	0.588613138686131
GLUCOCORTICOID RECEPTOR REGULATORY NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%GLUCOCORTICOID RECEPTOR REGULATORY NETWORK	66	34	0.588613138686131
CYCLIC-NUCLEOTIDE-MEDIATED SIGNALING%GOBP%GO:0019935	66	34	0.588613138686131
NEGATIVE REGULATION OF TRANSMEMBRANE TRANSPORT%GOBP%GO:0034763	66	34	0.588613138686131
REGULATION OF LEUKOCYTE MIGRATION%GOBP%GO:0002685	116	57	0.593226511289148
SIGNALING BY PTK6%REACTOME DATABASE ID RELEASE 65%8848021	49	26	0.593226511289148
SIGNALING BY NON-RECEPTOR TYROSINE KINASES%REACTOME%R-HSA-9006927.2	49	26	0.593226511289148
CELL CYCLE G1/S PHASE TRANSITION%GOBP%GO:0044843	92	46	0.594759825327511
CALCIUM ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0070588	79	40	0.595636363636364
NEGATIVE REGULATION OF PEPTIDE SECRETION%GOBP%GO:0002792	64	33	0.603706395348837
DNA DAMAGE BYPASS%REACTOME DATABASE ID RELEASE 65%73893	47	25	0.606521739130435
RHO PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0007266	47	25	0.606521739130435
OUTFLOW TRACT MORPHOGENESIS%GOBP%GO:0003151	47	25	0.606521739130435
GLYCOSAMINOGLYCAN CATABOLIC PROCESS%GOBP%GO:0006027	47	25	0.606521739130435
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	77	39	0.611296162201303
MULTI-ORGANISM REPRODUCTIVE PROCESS%GOBP%GO:0044703	234	110	0.61410998552822
AUTODEGRADATION OF CDH1 BY CDH1:APC C%REACTOME DATABASE ID RELEASE 65%174084	62	32	0.617532467532468
ASYMMETRIC LOCALIZATION OF PCP PROTEINS%REACTOME DATABASE ID RELEASE 65%4608870	62	32	0.617532467532468
MUSCLE CELL DEVELOPMENT%GOBP%GO:0055001	62	32	0.617532467532468
VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0048010	62	32	0.617532467532468
RIBOSE PHOSPHATE METABOLIC PROCESS%GOBP%GO:0019693	288	134	0.61773612112473
ANGIOPOIETIN RECEPTOR TIE2-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ANGIOPOIETIN RECEPTOR TIE2-MEDIATED SIGNALING	45	24	0.619438444924406
POSITIVE REGULATION OF MYELOID CELL DIFFERENTIATION%GOBP%GO:0045639	45	24	0.619438444924406
POSITIVE REGULATION OF HYDROLASE ACTIVITY%GOBP%GO:0051345	392	180	0.620287769784173
RHO GTPASES ACTIVATE FORMINS%REACTOME%R-HSA-5663220.1	112	55	0.621135873472322
POSITIVE REGULATION OF MONONUCLEAR CELL PROLIFERATION%GOBP%GO:0032946	73	37	0.645258620689655
PEPTIDE LIGAND-BINDING RECEPTORS%REACTOME%R-HSA-375276.4	97	48	0.645847176079734
PID_THROMBIN_PAR1_PATHWAY%MSIGDB_C2%PID_THROMBIN_PAR1_PATHWAY	41	22	0.645847176079734
PAR1-MEDIATED THROMBIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PAR1-MEDIATED THROMBIN SIGNALING EVENTS	41	22	0.645847176079734
DUAL INCISION IN GG-NER%REACTOME%R-HSA-5696400.1	41	22	0.645847176079734
PURINE RIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009150	273	127	0.645847176079734
REGULATION OF CARBOHYDRATE METABOLIC PROCESS%GOBP%GO:0006109	84	42	0.645847176079734
RESPONSE TO ANTIBIOTIC%GOBP%GO:0046677	84	42	0.645847176079734
REGULATION OF PROTEIN LOCALIZATION TO NUCLEUS%GOBP%GO:1900180	71	36	0.645847176079734
CARDIAC VENTRICLE DEVELOPMENT%GOBP%GO:0003231	56	29	0.645847176079734
REGULATION OF BLOOD PRESSURE%GOBP%GO:0008217	82	41	0.645847176079734
POSITIVE REGULATION OF SMALL MOLECULE METABOLIC PROCESS%GOBP%GO:0062013	69	35	0.645847176079734
ACTION POTENTIAL%GOBP%GO:0001508	69	35	0.645847176079734
IL12-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL12-MEDIATED SIGNALING EVENTS	54	28	0.645847176079734
PID_AURORA_B_PATHWAY%MSIGDB_C2%PID_AURORA_B_PATHWAY	37	20	0.645847176079734
AURORA B SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AURORA B SIGNALING	37	20	0.645847176079734
REGULATION OF LYMPHOCYTE MIGRATION%GOBP%GO:2000401	37	20	0.645847176079734
EMBRYONIC SKELETAL SYSTEM DEVELOPMENT%GOBP%GO:0048706	37	20	0.645847176079734
POSITIVE REGULATION OF STRESS FIBER ASSEMBLY%GOBP%GO:0051496	37	20	0.645847176079734
HISTIDINE DEGRADATION III%HUMANCYC%PWY-5030	5	4	0.645847176079734
CLASS IB PI3K NON-LIPID KINASE EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CLASS IB PI3K NON-LIPID KINASE EVENTS	5	4	0.645847176079734
PLK3 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PLK3 SIGNALING EVENTS	5	4	0.645847176079734
SIGNALING BY ACTIVATED POINT MUTANTS OF FGFR3%REACTOME%R-HSA-1839130.1	5	4	0.645847176079734
RELEASE OF HH-NP FROM THE SECRETING CELL%REACTOME%R-HSA-5362798.1	5	4	0.645847176079734
CHYLOMICRON REMODELING%REACTOME%R-HSA-8963901.1	5	4	0.645847176079734
PHOSPHOLIPASE C-MEDIATED CASCADE: FGFR1%REACTOME%R-HSA-5654219.2	5	4	0.645847176079734
FGFR3 MUTANT RECEPTOR ACTIVATION%REACTOME DATABASE ID RELEASE 65%2033514	5	4	0.645847176079734
WNT5A-DEPENDENT INTERNALIZATION OF FZD2, FZD5 AND ROR2%REACTOME%R-HSA-5140745.1	5	4	0.645847176079734
PHOSPHOLIPASE C-MEDIATED CASCADE; FGFR3%REACTOME DATABASE ID RELEASE 65%5654227	5	4	0.645847176079734
MET INTERACTS WITH TNS PROTEINS%REACTOME%R-HSA-8875513.1	5	4	0.645847176079734
BETA OXIDATION OF HEXANOYL-COA TO BUTANOYL-COA%REACTOME DATABASE ID RELEASE 65%77350	5	4	0.645847176079734
CELLULAR RESPONSE TO CGMP%GOBP%GO:0071321	5	4	0.645847176079734
SPERMATID NUCLEUS DIFFERENTIATION%GOBP%GO:0007289	5	4	0.645847176079734
NEGATIVE REGULATION OF MACROPHAGE DIFFERENTIATION%GOBP%GO:0045650	5	4	0.645847176079734
METANEPHRIC MESENCHYMAL CELL DIFFERENTIATION%GOBP%GO:0072162	5	4	0.645847176079734
NEGATIVE REGULATION OF RESPONSE TO FOOD%GOBP%GO:0032096	5	4	0.645847176079734
ENDOTHELIAL CELL APOPTOTIC PROCESS%GOBP%GO:0072577	5	4	0.645847176079734
RESPONSE TO ANTICOAGULANT%GOBP%GO:0061476	5	4	0.645847176079734
NEGATIVE REGULATION OF APPETITE%GOBP%GO:0032099	5	4	0.645847176079734
SMOOTH MUSCLE CELL MIGRATION%GOBP%GO:0014909	5	4	0.645847176079734
CARDIAC CHAMBER FORMATION%GOBP%GO:0003207	5	4	0.645847176079734
PYRIMIDINE RIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009218	5	4	0.645847176079734
REGULATION OF ADIPONECTIN SECRETION%GOBP%GO:0070163	5	4	0.645847176079734
REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE BY NOREPINEPHRINE-EPINEPHRINE%GOBP%GO:0001993	5	4	0.645847176079734
POSITIVE REGULATION OF LIPOPOLYSACCHARIDE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0031666	5	4	0.645847176079734
POSITIVE REGULATION OF LIPOPROTEIN PARTICLE CLEARANCE%GOBP%GO:0010986	5	4	0.645847176079734
NEGATIVE REGULATION OF T CELL DIFFERENTIATION IN THYMUS%GOBP%GO:0033085	5	4	0.645847176079734
INTERFERON-GAMMA SECRETION%GOBP%GO:0072643	5	4	0.645847176079734
RNA LOCALIZATION TO CAJAL BODY%GOBP%GO:0090670	5	4	0.645847176079734
SHORT-CHAIN FATTY ACID METABOLIC PROCESS%GOBP%GO:0046459	5	4	0.645847176079734
POSITIVE REGULATION OF PHOSPHATIDYLINOSITOL BIOSYNTHETIC PROCESS%GOBP%GO:0010513	5	4	0.645847176079734
REGULATION OF FEVER GENERATION%GOBP%GO:0031620	5	4	0.645847176079734
NEGATIVE REGULATION OF IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE%GOBP%GO:0002890	5	4	0.645847176079734
POSITIVE REGULATION OF SKELETAL MUSCLE CELL DIFFERENTIATION%GOBP%GO:2001016	5	4	0.645847176079734
ELASTIC FIBER ASSEMBLY%GOBP%GO:0048251	5	4	0.645847176079734
RRNA TRANSPORT%GOBP%GO:0051029	5	4	0.645847176079734
POSITIVE REGULATION OF RNA EXPORT FROM NUCLEUS%GOBP%GO:0046833	5	4	0.645847176079734
REGULATION OF INTERFERON-BETA SECRETION%GOBP%GO:0035547	5	4	0.645847176079734
MONOAMINE TRANSPORT%GOBP%GO:0015844	5	4	0.645847176079734
CELLULAR LACTAM METABOLIC PROCESS%GOBP%GO:0072338	5	4	0.645847176079734
POSITIVE REGULATION OF OSTEOBLAST PROLIFERATION%GOBP%GO:0033690	5	4	0.645847176079734
POSITIVE REGULATION OF HEAT GENERATION%GOBP%GO:0031652	5	4	0.645847176079734
NEGATIVE REGULATION OF MYELOID LEUKOCYTE MEDIATED IMMUNITY%GOBP%GO:0002887	5	4	0.645847176079734
POSITIVE REGULATION OF TAU-PROTEIN KINASE ACTIVITY%GOBP%GO:1902949	5	4	0.645847176079734
PLATELET-DERIVED GROWTH FACTOR RECEPTOR-BETA SIGNALING PATHWAY%GOBP%GO:0035791	5	4	0.645847176079734
REGULATION OF GLUCOCORTICOID BIOSYNTHETIC PROCESS%GOBP%GO:0031946	5	4	0.645847176079734
REGULATION OF CORTISOL BIOSYNTHETIC PROCESS%GOBP%GO:2000064	5	4	0.645847176079734
ANGIOTENSIN-ACTIVATED SIGNALING PATHWAY%GOBP%GO:0038166	5	4	0.645847176079734
PROXIMAL/DISTAL PATTERN FORMATION%GOBP%GO:0009954	5	4	0.645847176079734
POSITIVE REGULATION OF NUCLEOBASE-CONTAINING COMPOUND TRANSPORT%GOBP%GO:0032241	5	4	0.645847176079734
REGULATION OF THYMOCYTE APOPTOTIC PROCESS%GOBP%GO:0070243	5	4	0.645847176079734
SCARNA LOCALIZATION TO CAJAL BODY%GOBP%GO:0090666	5	4	0.645847176079734
POSITIVE REGULATION OF FEVER GENERATION%GOBP%GO:0031622	5	4	0.645847176079734
DETERMINATION OF DIGESTIVE TRACT LEFT/RIGHT ASYMMETRY%GOBP%GO:0071907	5	4	0.645847176079734
NEGATIVE REGULATION OF LEUKOCYTE ADHESION TO VASCULAR ENDOTHELIAL CELL%GOBP%GO:1904995	5	4	0.645847176079734
REGULATION OF RNA POLYMERASE II REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING%GOBP%GO:1903025	5	4	0.645847176079734
PHOSPHOLIPASE C-ACTIVATING DOPAMINE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0060158	5	4	0.645847176079734
MATURE RIBOSOME ASSEMBLY%GOBP%GO:0042256	5	4	0.645847176079734
POST-EMBRYONIC ANIMAL ORGAN DEVELOPMENT%GOBP%GO:0048569	5	4	0.645847176079734
PROTEIN IMPORT INTO PEROXISOME MEMBRANE%GOBP%GO:0045046	5	4	0.645847176079734
RESPONSE TO CGMP%GOBP%GO:0070305	5	4	0.645847176079734
NEGATIVE REGULATION OF B CELL MEDIATED IMMUNITY%GOBP%GO:0002713	5	4	0.645847176079734
POSITIVE REGULATION OF ACTIVIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0032927	5	4	0.645847176079734
DE NOVO CENTRIOLE ASSEMBLY INVOLVED IN MULTI-CILIATED EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0098535	5	4	0.645847176079734
POSITIVE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO HYPOXIA%GOBP%GO:0061419	5	4	0.645847176079734
REGULATION OF CDC42 PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0032489	5	4	0.645847176079734
REGULATION OF METANEPHRIC GLOMERULUS DEVELOPMENT%GOBP%GO:0072298	5	4	0.645847176079734
MEMBRANE TO MEMBRANE DOCKING%GOBP%GO:0022614	5	4	0.645847176079734
REGULATION OF HEAT GENERATION%GOBP%GO:0031650	5	4	0.645847176079734
REGULATION OF RESPIRATORY GASEOUS EXCHANGE%GOBP%GO:0043576	5	4	0.645847176079734
NEGATIVE REGULATION OF PHOSPHOLIPASE ACTIVITY%GOBP%GO:0010519	5	4	0.645847176079734
CELLULAR RESPONSE TO HEPATOCYTE GROWTH FACTOR STIMULUS%GOBP%GO:0035729	5	4	0.645847176079734
ADULT HEART DEVELOPMENT%GOBP%GO:0007512	5	4	0.645847176079734
RESPONSE TO HEPATOCYTE GROWTH FACTOR%GOBP%GO:0035728	5	4	0.645847176079734
REGULATION OF INTERLEUKIN-18 PRODUCTION%GOBP%GO:0032661	5	4	0.645847176079734
BONE GROWTH%GOBP%GO:0098868	5	4	0.645847176079734
REGULATION OF BLOOD VESSEL REMODELING%GOBP%GO:0060312	5	4	0.645847176079734
BLASTOCYST FORMATION%GOBP%GO:0001825	5	4	0.645847176079734
ISG15-PROTEIN CONJUGATION%GOBP%GO:0032020	5	4	0.645847176079734
DE NOVO CENTRIOLE ASSEMBLY%GOBP%GO:0097742	5	4	0.645847176079734
RNA LOCALIZATION TO NUCLEUS%GOBP%GO:0090685	5	4	0.645847176079734
NEGATIVE REGULATION OF FIBRINOLYSIS%GOBP%GO:0051918	5	4	0.645847176079734
PYRIMIDINE NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009147	5	4	0.645847176079734
RESPONSE TO HEPARIN%GOBP%GO:0071503	5	4	0.645847176079734
CALCINEURIN-NFAT SIGNALING CASCADE%GOBP%GO:0033173	5	4	0.645847176079734
DETECTION OF VIRUS%GOBP%GO:0009597	5	4	0.645847176079734
RIBOSOMAL SMALL SUBUNIT EXPORT FROM NUCLEUS%GOBP%GO:0000056	5	4	0.645847176079734
PROTEIN UFMYLATION%GOBP%GO:0071569	5	4	0.645847176079734
SMALL RNA LOADING ONTO RISC%GOBP%GO:0070922	5	4	0.645847176079734
REGULATION OF CELL COMMUNICATION BY ELECTRICAL COUPLING INVOLVED IN CARDIAC CONDUCTION%GOBP%GO:1901844	5	4	0.645847176079734
SPERM CHROMATIN CONDENSATION%GOBP%GO:0035092	5	4	0.645847176079734
NEGATIVE REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR SIGNALING PATHWAY%GOBP%GO:1900747	5	4	0.645847176079734
CORPUS CALLOSUM DEVELOPMENT%GOBP%GO:0022038	5	4	0.645847176079734
POSITIVE REGULATION OF DEOXYRIBONUCLEASE ACTIVITY%GOBP%GO:0032077	5	4	0.645847176079734
RESPONSE TO OXIDATIVE STRESS%GOBP%GO:0006979	204	96	0.650962176509622
MORPHOGENESIS OF AN EPITHELIUM%GOBP%GO:0002009	166	79	0.650962176509622
CELL-CELL ADHESION%GOBP%GO:0098609	231	108	0.656063618290258
POSITIVE REGULATION OF TELOMERASE ACTIVITY%GOBP%GO:0051973	35	19	0.656063618290258
RESPONSE TO GROWTH FACTOR%GOBP%GO:0070848	319	147	0.659405940594059
TRNA PROCESSING%REACTOME%R-HSA-72306.5	91	45	0.659405940594059
PID_CD8_TCR_PATHWAY%MSIGDB_C2%PID_CD8_TCR_PATHWAY	52	27	0.659405940594059
TCR SIGNALING IN NAIVE CD8+ T CELLS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TCR SIGNALING IN NAIVE CD8+ T CELLS	52	27	0.659405940594059
EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0001837	52	27	0.659405940594059
LYMPHOCYTE MEDIATED IMMUNITY%GOBP%GO:0002449	52	27	0.659405940594059
REGULATION OF RAS BY GAPS%REACTOME%R-HSA-5658442.1	65	33	0.667322834645669
PID_IL8_CXCR2_PATHWAY%MSIGDB_C2%PID_IL8_CXCR2_PATHWAY	33	18	0.667322834645669
PID_ARF6_PATHWAY%MSIGDB_C2%PID_ARF6_PATHWAY	33	18	0.667322834645669
ARF6 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ARF6 SIGNALING EVENTS	33	18	0.667322834645669
IL8- AND CXCR2-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL8- AND CXCR2-MEDIATED SIGNALING EVENTS	33	18	0.667322834645669
RET SIGNALING%REACTOME DATABASE ID RELEASE 65%8853659	33	18	0.667322834645669
ROOF OF MOUTH DEVELOPMENT%GOBP%GO:0060021	33	18	0.667322834645669
POSITIVE REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION%GOBP%GO:0051057	33	18	0.667322834645669
POSITIVE REGULATION OF DEPHOSPHORYLATION%GOBP%GO:0035306	33	18	0.667322834645669
VPU MEDIATED DEGRADATION OF CD4%REACTOME%R-HSA-180534.1	50	26	0.671465968586387
CELLULAR RESPONSE TO TYPE I INTERFERON%GOBP%GO:0071357	50	26	0.671465968586387
TYPE I INTERFERON SIGNALING PATHWAY%GOBP%GO:0060337	50	26	0.671465968586387
ENDOTHELIAL CELL DIFFERENTIATION%GOBP%GO:0045446	50	26	0.671465968586387
RESPONSE TO TOXIC SUBSTANCE%GOBP%GO:0009636	111	54	0.671492204899777
SIGNALING BY INTERLEUKINS%REACTOME DATABASE ID RELEASE 65%449147	374	171	0.671492204899777
PID_EPHA_FWDPATHWAY%MSIGDB_C2%PID_EPHA_FWDPATHWAY	31	17	0.671492204899777
POSITIVE REGULATION OF BIOMINERAL TISSUE DEVELOPMENT%GOBP%GO:0070169	31	17	0.671492204899777
POSITIVE REGULATION OF RAS PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0046579	31	17	0.671492204899777
TRICARBOXYLIC ACID METABOLIC PROCESS%GOBP%GO:0072350	31	17	0.671492204899777
REGULATION OF CARDIAC MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0055024	31	17	0.671492204899777
CELLULAR METABOLIC COMPOUND SALVAGE%GOBP%GO:0043094	31	17	0.671492204899777
GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN TC-NER%REACTOME%R-HSA-6782210.1	63	32	0.671492204899777
REGULATION OF SYNAPSE STRUCTURE OR ACTIVITY%GOBP%GO:0050803	63	32	0.671492204899777
MITOCHONDRION ORGANIZATION%GOBP%GO:0007005	313	144	0.671492204899777
HORMONE METABOLIC PROCESS%GOBP%GO:0042445	87	43	0.671492204899777
REGULATION OF ACTIVATED PAK-2P34 BY PROTEASOME MEDIATED DEGRADATION%REACTOME%R-HSA-211733.1	48	25	0.671492204899777
NEGATIVE REGULATION OF CATION TRANSMEMBRANE TRANSPORT%GOBP%GO:1904063	48	25	0.671492204899777
REGULATION OF PATHWAY-RESTRICTED SMAD PROTEIN PHOSPHORYLATION%GOBP%GO:0060393	48	25	0.671492204899777
NEGATIVE REGULATION OF LIPID METABOLIC PROCESS%GOBP%GO:0045833	48	25	0.671492204899777
DIGESTIVE SYSTEM DEVELOPMENT%GOBP%GO:0055123	48	25	0.671492204899777
INNATE IMMUNE RESPONSE%GOBP%GO:0045087	295	136	0.671492204899777
PID_S1P_S1P3_PATHWAY%MSIGDB_C2%PID_S1P_S1P3_PATHWAY	29	16	0.671492204899777
PID_SYNDECAN_2_PATHWAY%MSIGDB_C2%PID_SYNDECAN_2_PATHWAY	29	16	0.671492204899777
REGULATION OF ORGAN GROWTH%GOBP%GO:0046620	29	16	0.671492204899777
PLATELET AGGREGATION%GOBP%GO:0070527	29	16	0.671492204899777
POSITIVE REGULATION OF MUSCLE TISSUE DEVELOPMENT%GOBP%GO:1901863	29	16	0.671492204899777
SKELETAL MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0007519	29	16	0.671492204899777
MESONEPHROS DEVELOPMENT%GOBP%GO:0001823	29	16	0.671492204899777
PLASMA MEMBRANE INVAGINATION%GOBP%GO:0099024	29	16	0.671492204899777
PHENOL-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0018958	29	16	0.671492204899777
POSITIVE REGULATION OF MUSCLE ORGAN DEVELOPMENT%GOBP%GO:0048636	29	16	0.671492204899777
POSITIVE REGULATION OF STRIATED MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0045844	29	16	0.671492204899777
POSITIVE REGULATION OF LEUKOCYTE PROLIFERATION%GOBP%GO:0070665	74	37	0.671492204899777
MITOCHONDRIAL BIOGENESIS%REACTOME%R-HSA-1592230.2	61	31	0.671492204899777
DOWNSTREAM SIGNAL TRANSDUCTION%REACTOME%R-HSA-186763.2	27	15	0.671492204899777
REGULATION OF COMPLEMENT CASCADE%REACTOME DATABASE ID RELEASE 65%977606	27	15	0.671492204899777
MESONEPHRIC TUBULE DEVELOPMENT%GOBP%GO:0072164	27	15	0.671492204899777
CELL DIFFERENTIATION INVOLVED IN KIDNEY DEVELOPMENT%GOBP%GO:0061005	27	15	0.671492204899777
MESONEPHRIC EPITHELIUM DEVELOPMENT%GOBP%GO:0072163	27	15	0.671492204899777
NEGATIVE REGULATION OF TOLL-LIKE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0034122	27	15	0.671492204899777
REGULATION OF MAP KINASE ACTIVITY%GOBP%GO:0043405	223	104	0.671492204899777
POSITIVE REGULATION OF IMMUNE EFFECTOR PROCESS%GOBP%GO:0002699	107	52	0.671492204899777
EMBRYONIC ORGAN MORPHOGENESIS%GOBP%GO:0048562	96	47	0.671492204899777
RNA MODIFICATION%GOBP%GO:0009451	96	47	0.671492204899777
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY%MSIGDB_C2%PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	46	24	0.671492204899777
REGULATION OF TELOMERASE ACTIVITY%GOBP%GO:0051972	46	24	0.671492204899777
REGULATION OF BMP SIGNALING PATHWAY%GOBP%GO:0030510	46	24	0.671492204899777
DIGESTIVE TRACT DEVELOPMENT%GOBP%GO:0048565	46	24	0.671492204899777
SECOND-MESSENGER-MEDIATED SIGNALING%GOBP%GO:0019932	147	70	0.671492204899777
BIOCARTA_IL5_PATHWAY%MSIGDB_C2%BIOCARTA_IL5_PATHWAY	7	5	0.671492204899777
BIOCARTA_EXTRINSIC_PATHWAY%MSIGDB_C2%BIOCARTA_EXTRINSIC_PATHWAY	7	5	0.671492204899777
INTERLEUKIN-9 SIGNALING%REACTOME%R-HSA-8985947.4	7	5	0.671492204899777
VEGF BINDS TO VEGFR LEADING TO RECEPTOR DIMERIZATION%REACTOME DATABASE ID RELEASE 65%195399	7	5	0.671492204899777
TRNA MODIFICATION IN THE MITOCHONDRION%REACTOME%R-HSA-6787450.3	7	5	0.671492204899777
FREE FATTY ACIDS REGULATE INSULIN SECRETION%REACTOME%R-HSA-400451.1	7	5	0.671492204899777
ACTIVATION OF NIMA KINASES NEK9, NEK6, NEK7%REACTOME DATABASE ID RELEASE 65%2980767	7	5	0.671492204899777
VEGF LIGAND-RECEPTOR INTERACTIONS%REACTOME%R-HSA-194313.1	7	5	0.671492204899777
ACTIVATED POINT MUTANTS OF FGFR2%REACTOME%R-HSA-2033519.1	7	5	0.671492204899777
DEFENSINS%REACTOME%R-HSA-1461973.1	7	5	0.671492204899777
FATTY ACIDS BOUND TO GPR40 (FFAR1) REGULATE INSULIN SECRETION%REACTOME%R-HSA-434316.1	7	5	0.671492204899777
CELLULAR RESPONSE TO INTERLEUKIN-9%GOBP%GO:0071355	7	5	0.671492204899777
