GENE.SET	NR.GENES	NR.SIG.GENES	P.VALUE
NEGATIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001234	135	61	0.298
RAS PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0007265	119	54	0.298
HALLMARK_MITOTIC_SPINDLE%MSIGDB_C2%HALLMARK_MITOTIC_SPINDLE	197	88	0.299
VALIDATED TARGETS OF C-MYC TRANSCRIPTIONAL ACTIVATION%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VALIDATED TARGETS OF C-MYC TRANSCRIPTIONAL ACTIVATION	78	36	0.299
MAPK6 MAPK4 SIGNALING%REACTOME DATABASE ID RELEASE 65%5687128	78	36	0.299
MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:0044772	204	91	0.301
NUCLEOTIDE EXCISION REPAIR%REACTOME%R-HSA-5696398.2	94	43	0.301
DEVELOPMENT OF PRIMARY SEXUAL CHARACTERISTICS%GOBP%GO:0045137	60	28	0.303
REGULATION OF EMBRYONIC DEVELOPMENT%GOBP%GO:0045995	60	28	0.303
ANGIOTENSIN_II-STIMULATED_SIGNALING_THROUGH_G_PROTEINS_AND_BETA-ARRESTIN%PANTHER PATHWAY%P05911	33	16	0.303
POSITIVE REGULATION OF AXONOGENESIS%GOBP%GO:0050772	33	16	0.303
CELLULAR RESPONSE TO RETINOIC ACID%GOBP%GO:0071300	33	16	0.303
POSITIVE REGULATION OF DNA BINDING%GOBP%GO:0043388	33	16	0.303
SIGNALING BY FGFR IN DISEASE%REACTOME DATABASE ID RELEASE 65%1226099	51	24	0.305
SIG_CHEMOTAXIS%MSIGDB_C2%SIG_CHEMOTAXIS	42	20	0.305
MEMBRANE DEPOLARIZATION%GOBP%GO:0051899	42	20	0.305
MORPHOGENESIS OF A BRANCHING STRUCTURE%GOBP%GO:0001763	42	20	0.305
DNA REPLICATION-INDEPENDENT NUCLEOSOME ORGANIZATION%GOBP%GO:0034724	42	20	0.305
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN%GOBP%GO:0002478	117	53	0.306
PYRIMIDINE RIBONUCLEOTIDES INTERCONVERSION%HUMANCYC%PWY-5687	11	6	0.306
BIOCARTA_AKAP95_PATHWAY%MSIGDB_C2%BIOCARTA_AKAP95_PATHWAY	11	6	0.306
BIOCARTA_SRCRPTP_PATHWAY%MSIGDB_C2%BIOCARTA_SRCRPTP_PATHWAY	11	6	0.306
ST_STAT3_PATHWAY%MSIGDB_C2%ST_STAT3_PATHWAY	11	6	0.306
BBSOME-MEDIATED CARGO-TARGETING TO CILIUM%REACTOME%R-HSA-5620922.1	11	6	0.306
PI-3K CASCADE:FGFR2%REACTOME DATABASE ID RELEASE 65%5654695	11	6	0.306
BMAL1:CLOCK,NPAS2 ACTIVATES CIRCADIAN GENE EXPRESSION%REACTOME DATABASE ID RELEASE 65%1368108	11	6	0.306
TRAFFICKING AND PROCESSING OF ENDOSOMAL TLR%REACTOME DATABASE ID RELEASE 65%1679131	11	6	0.306
INTERLEUKIN-6 SIGNALING%REACTOME DATABASE ID RELEASE 65%1059683	11	6	0.306
THE NLRP3 INFLAMMASOME%REACTOME%R-HSA-844456.2	11	6	0.306
CONDENSATION OF PROMETAPHASE CHROMOSOMES%REACTOME%R-HSA-2514853.2	11	6	0.306
AMYLOID-BETA CLEARANCE%GOBP%GO:0097242	11	6	0.306
REGULATION OF EXIT FROM MITOSIS%GOBP%GO:0007096	11	6	0.306
RIBOSOME LOCALIZATION%GOBP%GO:0033750	11	6	0.306
NEGATIVE REGULATION OF CALCIUM ION TRANSPORT INTO CYTOSOL%GOBP%GO:0010523	11	6	0.306
NEGATIVE REGULATION OF MYOBLAST DIFFERENTIATION%GOBP%GO:0045662	11	6	0.306
REGULATION OF VASCULOGENESIS%GOBP%GO:2001212	11	6	0.306
NEGATIVE REGULATION OF MACROPHAGE DERIVED FOAM CELL DIFFERENTIATION%GOBP%GO:0010745	11	6	0.306
VIRAL LATENCY%GOBP%GO:0019042	11	6	0.306
POSITIVE REGULATION OF LYMPHOCYTE APOPTOTIC PROCESS%GOBP%GO:0070230	11	6	0.306
RESPONSE TO PROGESTERONE%GOBP%GO:0032570	11	6	0.306
MACROPHAGE DIFFERENTIATION%GOBP%GO:0030225	11	6	0.306
ANDROGEN METABOLIC PROCESS%GOBP%GO:0008209	11	6	0.306
ATRIAL CARDIAC MUSCLE CELL TO AV NODE CELL COMMUNICATION%GOBP%GO:0086066	11	6	0.306
MITOCHONDRIAL CALCIUM ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0006851	11	6	0.306
REGULATION OF INTERFERON-GAMMA BIOSYNTHETIC PROCESS%GOBP%GO:0045072	11	6	0.306
REGULATION OF DIGESTIVE SYSTEM PROCESS%GOBP%GO:0044058	11	6	0.306
NEGATIVE REGULATION OF ANDROGEN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0060766	11	6	0.306
LEUKOTRIENE BIOSYNTHETIC PROCESS%GOBP%GO:0019370	11	6	0.306
RELAXATION OF CARDIAC MUSCLE%GOBP%GO:0055119	11	6	0.306
TRIGLYCERIDE CATABOLIC PROCESS%GOBP%GO:0019433	11	6	0.306
NEURON CELL-CELL ADHESION%GOBP%GO:0007158	11	6	0.306
RETROGRADE AXONAL TRANSPORT%GOBP%GO:0008090	11	6	0.306
NEGATIVE REGULATION OF BLOOD VESSEL DIAMETER%GOBP%GO:0097756	11	6	0.306
RESPONSE TO UV-B%GOBP%GO:0010224	11	6	0.306
NEGATIVE REGULATION OF CHEMOKINE PRODUCTION%GOBP%GO:0032682	11	6	0.306
POST-EMBRYONIC DEVELOPMENT%GOBP%GO:0009791	11	6	0.306
NEGATIVE REGULATION OF INTERLEUKIN-1 PRODUCTION%GOBP%GO:0032692	11	6	0.306
NEGATIVE REGULATION OF KIDNEY DEVELOPMENT%GOBP%GO:0090185	11	6	0.306
MITOCHONDRIAL ELECTRON TRANSPORT, CYTOCHROME C TO OXYGEN%GOBP%GO:0006123	11	6	0.306
REGULATION OF FATTY ACID TRANSPORT%GOBP%GO:2000191	11	6	0.306
POSITIVE REGULATION OF INTERLEUKIN-8 SECRETION%GOBP%GO:2000484	11	6	0.306
RIBOSOMAL SUBUNIT EXPORT FROM NUCLEUS%GOBP%GO:0000054	11	6	0.306
POSITIVE REGULATION OF CALCIUM ION-DEPENDENT EXOCYTOSIS%GOBP%GO:0045956	11	6	0.306
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646	11	6	0.306
PRE-MRNA CLEAVAGE REQUIRED FOR POLYADENYLATION%GOBP%GO:0098789	11	6	0.306
TRANSCRIPTION-COUPLED NUCLEOTIDE EXCISION REPAIR (TC-NER)%REACTOME DATABASE ID RELEASE 65%6781827	76	35	0.308
TRNA PROCESSING%GOBP%GO:0008033	76	35	0.308
CIRCADIAN RHYTHM%GOBP%GO:0007623	76	35	0.308
REGULATION OF CELLULAR KETONE METABOLIC PROCESS%GOBP%GO:0010565	76	35	0.308
INFECTIOUS DISEASE%REACTOME DATABASE ID RELEASE 65%5663205	329	145	0.309
PID_TCR_CALCIUM_PATHWAY%MSIGDB_C2%PID_TCR_CALCIUM_PATHWAY	22	11	0.31
GAP JUNCTION TRAFFICKING%REACTOME DATABASE ID RELEASE 65%190828	22	11	0.31
POSITIVE REGULATION OF INSULIN SECRETION%GOBP%GO:0032024	22	11	0.31
POSITIVE REGULATION OF NITRIC OXIDE METABOLIC PROCESS%GOBP%GO:1904407	22	11	0.31
POSITIVE REGULATION OF INTERLEUKIN-1 SECRETION%GOBP%GO:0050716	22	11	0.31
REGULATION OF VIRAL ENTRY INTO HOST CELL%GOBP%GO:0046596	22	11	0.31
PROSTAGLANDIN METABOLIC PROCESS%GOBP%GO:0006693	22	11	0.31
TELOMERE MAINTENANCE VIA TELOMERE LENGTHENING%GOBP%GO:0010833	22	11	0.31
POSITIVE REGULATION OF SUBSTRATE ADHESION-DEPENDENT CELL SPREADING%GOBP%GO:1900026	22	11	0.31
NEGATIVE REGULATION OF CARBOHYDRATE METABOLIC PROCESS%GOBP%GO:0045912	22	11	0.31
REGULATION OF HEART GROWTH%GOBP%GO:0060420	22	11	0.31
POSITIVE REGULATION OF NITRIC OXIDE BIOSYNTHETIC PROCESS%GOBP%GO:0045429	22	11	0.31
PROSTANOID METABOLIC PROCESS%GOBP%GO:0006692	22	11	0.31
POSITIVE REGULATION OF CELL MORPHOGENESIS INVOLVED IN DIFFERENTIATION%GOBP%GO:0010770	67	31	0.311
INTERNAL PROTEIN AMINO ACID ACETYLATION%GOBP%GO:0006475	67	31	0.311
ORGANELLE BIOGENESIS AND MAINTENANCE%REACTOME%R-HSA-1852241.4	216	96	0.312
ACTIN CYTOSKELETON ORGANIZATION%GOBP%GO:0030036	283	125	0.313
SENSORY PERCEPTION OF MECHANICAL STIMULUS%GOBP%GO:0050954	58	27	0.314
POSITIVE REGULATION OF TRANSFERASE ACTIVITY%GOBP%GO:0051347	429	188	0.315
CELLULAR RESPONSE TO TUMOR NECROSIS FACTOR%GOBP%GO:0071356	115	52	0.315
DITERPENOID METABOLIC PROCESS%GOBP%GO:0016101	49	23	0.316
PID_WNT_NONCANONICAL_PATHWAY%MSIGDB_C2%PID_WNT_NONCANONICAL_PATHWAY	31	15	0.316
NONCANONICAL WNT SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NONCANONICAL WNT SIGNALING PATHWAY	31	15	0.316
INTERACTIONS OF VPR WITH HOST CELLULAR PROTEINS%REACTOME%R-HSA-176033.2	31	15	0.316
MITOCHONDRIAL FATTY ACID BETA-OXIDATION%REACTOME DATABASE ID RELEASE 65%77289	31	15	0.316
NEGATIVE REGULATION OF I-KAPPAB KINASE/NF-KAPPAB SIGNALING%GOBP%GO:0043124	31	15	0.316
NEGATIVE REGULATION OF RESPONSE TO BIOTIC STIMULUS%GOBP%GO:0002832	31	15	0.316
CELL AGING%GOBP%GO:0007569	40	19	0.317
HISTONE EXCHANGE%GOBP%GO:0043486	40	19	0.317
PDGFR-BETA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-BETA SIGNALING PATHWAY	122	55	0.318
RESPONSE TO INTERLEUKIN-1%GOBP%GO:0070555	106	48	0.319
SEXUAL REPRODUCTION%GOBP%GO:0019953	198	88	0.321
POTASSIUM CHANNELS%REACTOME DATABASE ID RELEASE 65%1296071	65	30	0.322
ACTIVATION OF NF-KAPPAB IN B CELLS%REACTOME%R-HSA-1169091.1	65	30	0.322
MITOCHONDRIAL TRANSMEMBRANE TRANSPORT%GOBP%GO:1990542	65	30	0.322
POSITIVE REGULATION OF LEUKOCYTE CHEMOTAXIS%GOBP%GO:0002690	65	30	0.322
REGULATION OF SIGNALING RECEPTOR ACTIVITY%GOBP%GO:0010469	65	30	0.322
BIOCARTA_ASBCELL_PATHWAY%MSIGDB_C2%BIOCARTA_ASBCELL_PATHWAY	9	5	0.323
DE NOVO PYRIMIDINE RIBONUCLEOTIDES BIOSYTHESIS%PANTHER PATHWAY%P02740	9	5	0.323
TRIF-MEDIATED PROGRAMMED CELL DEATH%REACTOME DATABASE ID RELEASE 65%2562578	9	5	0.323
CLEC7A (DECTIN-1) INDUCES NFAT ACTIVATION%REACTOME%R-HSA-5607763.1	9	5	0.323
LGI-ADAM INTERACTIONS%REACTOME%R-HSA-5682910.2	9	5	0.323
FORMATION OF ANNULAR GAP JUNCTIONS%REACTOME DATABASE ID RELEASE 65%196025	9	5	0.323
PLASMA LIPOPROTEIN ASSEMBLY%REACTOME DATABASE ID RELEASE 65%8963898	9	5	0.323
ENDOSOMAL VACUOLAR PATHWAY%REACTOME DATABASE ID RELEASE 65%1236977	9	5	0.323
NEF MEDIATED CD4 DOWN-REGULATION%REACTOME%R-HSA-167590.1	9	5	0.323
DISSOLUTION OF FIBRIN CLOT%REACTOME DATABASE ID RELEASE 65%75205	9	5	0.323
POSITIVE REGULATION OF NEURON MIGRATION%GOBP%GO:2001224	9	5	0.323
NEGATIVE REGULATION OF RELEASE OF SEQUESTERED CALCIUM ION INTO CYTOSOL%GOBP%GO:0051280	9	5	0.323
POSITIVE REGULATION OF FATTY ACID OXIDATION%GOBP%GO:0046321	9	5	0.323
PITUITARY GLAND DEVELOPMENT%GOBP%GO:0021983	9	5	0.323
SA NODE CELL TO ATRIAL CARDIAC MUSCLE CELL COMMUNICATION%GOBP%GO:0086070	9	5	0.323
NEGATIVE REGULATION OF TELOMERASE ACTIVITY%GOBP%GO:0051974	9	5	0.323
NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, EXONUCLEOLYTIC, 3'-5'%GOBP%GO:0034427	9	5	0.323
NEGATIVE REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0030948	9	5	0.323
EPITHELIAL CELL APOPTOTIC PROCESS%GOBP%GO:1904019	9	5	0.323
CELLULAR RESPONSE TO LEPTIN STIMULUS%GOBP%GO:0044320	9	5	0.323
POSITIVE REGULATION OF INSULIN SECRETION INVOLVED IN CELLULAR RESPONSE TO GLUCOSE STIMULUS%GOBP%GO:0035774	9	5	0.323
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO CELL SURFACE%GOBP%GO:2000010	9	5	0.323
POSITIVE REGULATION OF HETEROTYPIC CELL-CELL ADHESION%GOBP%GO:0034116	9	5	0.323
POSITIVE REGULATION OF DNA-DEPENDENT DNA REPLICATION%GOBP%GO:2000105	9	5	0.323
CARDIOBLAST DIFFERENTIATION%GOBP%GO:0010002	9	5	0.323
REGULATION OF CELL PROLIFERATION INVOLVED IN KIDNEY DEVELOPMENT%GOBP%GO:1901722	9	5	0.323
LEUKOCYTE AGGREGATION%GOBP%GO:0070486	9	5	0.323
T CELL CHEMOTAXIS%GOBP%GO:0010818	9	5	0.323
NEGATIVE REGULATION OF B CELL PROLIFERATION%GOBP%GO:0030889	9	5	0.323
DEOXYRIBONUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009263	9	5	0.323
CORONARY VASCULATURE MORPHOGENESIS%GOBP%GO:0060977	9	5	0.323
GLUCOSE IMPORT%GOBP%GO:0046323	9	5	0.323
CELLULAR RESPONSE TO STEROL%GOBP%GO:0036315	9	5	0.323
NEGATIVE REGULATION OF ANION TRANSMEMBRANE TRANSPORT%GOBP%GO:1903960	9	5	0.323
DETECTION OF CHEMICAL STIMULUS INVOLVED IN SENSORY PERCEPTION OF TASTE%GOBP%GO:0050912	9	5	0.323
REGULATION OF MICROTUBULE MOTOR ACTIVITY%GOBP%GO:2000574	9	5	0.323
INTERLEUKIN-1 PRODUCTION%GOBP%GO:0032612	9	5	0.323
POSITIVE REGULATION OF MAST CELL ACTIVATION%GOBP%GO:0033005	9	5	0.323
NEGATIVE REGULATION OF RYANODINE-SENSITIVE CALCIUM-RELEASE CHANNEL ACTIVITY%GOBP%GO:0060315	9	5	0.323
REGULATION OF RESPONSE TO TUMOR CELL%GOBP%GO:0002834	9	5	0.323
NEGATIVE REGULATION OF MUSCLE CELL APOPTOTIC PROCESS%GOBP%GO:0010656	9	5	0.323
CELLULAR RESPONSE TO INTERFERON-BETA%GOBP%GO:0035458	9	5	0.323
PEROXISOME FISSION%GOBP%GO:0016559	9	5	0.323
ONE-CARBON METABOLIC PROCESS%GOBP%GO:0006730	9	5	0.323
GLANDULAR EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0002067	9	5	0.323
JAK-STAT CASCADE INVOLVED IN GROWTH HORMONE SIGNALING PATHWAY%GOBP%GO:0060397	9	5	0.323
POSITIVE REGULATION OF INTERLEUKIN-17 PRODUCTION%GOBP%GO:0032740	9	5	0.323
REGULATION OF NEURON PROJECTION REGENERATION%GOBP%GO:0070570	9	5	0.323
NEGATIVE REGULATION OF CELL KILLING%GOBP%GO:0031342	9	5	0.323
ECTODERM DEVELOPMENT%GOBP%GO:0007398	9	5	0.323
POSITIVE REGULATION OF TUMOR NECROSIS FACTOR SECRETION%GOBP%GO:1904469	9	5	0.323
INTERLEUKIN-1 SECRETION%GOBP%GO:0050701	9	5	0.323
REGULATION OF IMMUNE RESPONSE TO TUMOR CELL%GOBP%GO:0002837	9	5	0.323
MRNA METHYLATION%GOBP%GO:0080009	9	5	0.323
NEGATIVE REGULATION OF GLYCOPROTEIN BIOSYNTHETIC PROCESS%GOBP%GO:0010561	9	5	0.323
REGULATION OF CELL-CELL ADHESION INVOLVED IN GASTRULATION%GOBP%GO:0070587	9	5	0.323
FUCOSE METABOLIC PROCESS%GOBP%GO:0006004	9	5	0.323
REGULATION OF SULFUR METABOLIC PROCESS%GOBP%GO:0042762	9	5	0.323
SNORNA 3'-END PROCESSING%GOBP%GO:0031126	9	5	0.323
NEGATIVE REGULATION OF HETEROTYPIC CELL-CELL ADHESION%GOBP%GO:0034115	9	5	0.323
GLUTATHIONE-MEDIATED DETOXIFICATION I%HUMANCYC%PWY-4061	20	10	0.325
BIOCARTA_CSK_PATHWAY%MSIGDB_C2%BIOCARTA_CSK_PATHWAY	20	10	0.325
BIOCARTA_PGC1A_PATHWAY%MSIGDB_C2%BIOCARTA_PGC1A_PATHWAY	20	10	0.325
PID_PDGFRA_PATHWAY%MSIGDB_C2%PID_PDGFRA_PATHWAY	20	10	0.325
BIOCARTA_SPPA_PATHWAY%MSIGDB_C2%BIOCARTA_SPPA_PATHWAY	20	10	0.325
PDGFR-ALPHA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-ALPHA SIGNALING PATHWAY	20	10	0.325
SIGNAL TRANSDUCTION BY L1%REACTOME%R-HSA-445144.1	20	10	0.325
SEMA4D INDUCED CELL MIGRATION AND GROWTH-CONE COLLAPSE%REACTOME%R-HSA-416572.1	20	10	0.325
SURFACTANT METABOLISM%REACTOME DATABASE ID RELEASE 65%5683826	20	10	0.325
CLEAVAGE INVOLVED IN RRNA PROCESSING%GOBP%GO:0000469	20	10	0.325
MEMBRANE ASSEMBLY%GOBP%GO:0071709	20	10	0.325
POSITIVE REGULATION OF REPRODUCTIVE PROCESS%GOBP%GO:2000243	20	10	0.325
DORSAL/VENTRAL PATTERN FORMATION%GOBP%GO:0009953	20	10	0.325
POTASSIUM ION IMPORT%GOBP%GO:0010107	20	10	0.325
NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO CELL PERIPHERY%GOBP%GO:1904376	20	10	0.325
POSITIVE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER INVOLVED IN CELLULAR RESPONSE TO CHEMICAL STIMULUS%GOBP%GO:1901522	20	10	0.325
ENTRAINMENT OF CIRCADIAN CLOCK%GOBP%GO:0009649	20	10	0.325
CALCIUM ION TRANSPORT%GOBP%GO:0006816	120	54	0.327
POSITIVE REGULATION OF TRANSLATION%GOBP%GO:0045727	72	33	0.328
NCAM SIGNALING FOR NEURITE OUT-GROWTH%REACTOME%R-HSA-375165.2	47	22	0.328
RETINOID METABOLIC PROCESS%GOBP%GO:0001523	47	22	0.328
POSITIVE REGULATION OF ION TRANSPORT%GOBP%GO:0043270	127	57	0.33
HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE%REACTOME%R-HSA-5693579.1	38	18	0.33
REGULATION OF ANION TRANSPORT%GOBP%GO:0044070	38	18	0.33
POSITIVE REGULATION OF PATHWAY-RESTRICTED SMAD PROTEIN PHOSPHORYLATION%GOBP%GO:0010862	38	18	0.33
POSITIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0010718	38	18	0.33
NEGATIVE REGULATION OF ENDOTHELIAL CELL MIGRATION%GOBP%GO:0010596	38	18	0.33
BIOCARTA_VEGF_PATHWAY%MSIGDB_C2%BIOCARTA_VEGF_PATHWAY	29	14	0.33
POSITIVE REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001238	29	14	0.33
NEGATIVE REGULATION OF FAT CELL DIFFERENTIATION%GOBP%GO:0045599	29	14	0.33
REGULATION OF LAMELLIPODIUM ORGANIZATION%GOBP%GO:1902743	29	14	0.33
CELLULAR RESPONSE TO NUTRIENT%GOBP%GO:0031670	29	14	0.33
REGULATION OF POSTSYNAPSE ORGANIZATION%GOBP%GO:0099175	29	14	0.33
POSITIVE REGULATION OF PHAGOCYTOSIS%GOBP%GO:0050766	29	14	0.33
OXYGEN-DEPENDENT PROLINE HYDROXYLATION OF HYPOXIA-INDUCIBLE FACTOR ALPHA%REACTOME%R-HSA-1234176.2	63	29	0.333
RIBOSOMAL LARGE SUBUNIT BIOGENESIS%GOBP%GO:0042273	63	29	0.333
LIPID HOMEOSTASIS%GOBP%GO:0055088	63	29	0.333
SNRNA METABOLIC PROCESS%GOBP%GO:0016073	79	36	0.334
PID_NOTCH_PATHWAY%MSIGDB_C2%PID_NOTCH_PATHWAY	54	25	0.337
NOTCH SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NOTCH SIGNALING PATHWAY	54	25	0.337
REGULATION OF MICROTUBULE-BASED PROCESS%GOBP%GO:0032886	148	66	0.338
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	125	56	0.339
LIPOSACCHARIDE METABOLIC PROCESS%GOBP%GO:1903509	86	39	0.339
GLOBAL GENOME NUCLEOTIDE EXCISION REPAIR (GG-NER)%REACTOME%R-HSA-5696399.1	70	32	0.339
CALCIUM-MEDIATED SIGNALING%GOBP%GO:0019722	70	32	0.339
SIG_BCR_SIGNALING_PATHWAY%MSIGDB_C2%SIG_BCR_SIGNALING_PATHWAY	45	21	0.341
EPH-EPHRIN MEDIATED REPULSION OF CELLS%REACTOME DATABASE ID RELEASE 65%3928665	45	21	0.341
RESPONSE TO CARBOHYDRATE%GOBP%GO:0009743	45	21	0.341
SEROTONIN DEGRADATION%HUMANCYC%PWY-6313	7	4	0.341
FATTY ACID &ALPHA;-OXIDATION II%HUMANCYC%PWY66-387	7	4	0.341
ETHANOL DEGRADATION IV%HUMANCYC%PWY66-162	7	4	0.341
RAPID GLUCOCORTICOID SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%RAPID GLUCOCORTICOID SIGNALING	7	4	0.341
GLYPICAN 3 NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%GLYPICAN 3 NETWORK	7	4	0.341
A4B7 INTEGRIN SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%A4B7 INTEGRIN SIGNALING	7	4	0.341
5-ARACHIDONYLGLYCEROL_BIOSYNTHESIS%PANTHER PATHWAY%P05726	7	4	0.341
2-LTR CIRCLE FORMATION%REACTOME DATABASE ID RELEASE 65%164843	7	4	0.341
PHOSPHOLIPASE C-MEDIATED CASCADE; FGFR4%REACTOME%R-HSA-5654228.2	7	4	0.341
FATTY ACIDS%REACTOME DATABASE ID RELEASE 65%211935	7	4	0.341
METABOLISM OF INGESTED SEMET, SEC, MESEC INTO H2SE%REACTOME DATABASE ID RELEASE 65%2408508	7	4	0.341
CLEAVAGE OF THE DAMAGED PYRIMIDINE%REACTOME%R-HSA-110329.1	7	4	0.341
CONSTITUTIVE SIGNALING BY NOTCH1 T(7;9)(NOTCH1:M1580_K2555) TRANSLOCATION MUTANT%REACTOME DATABASE ID RELEASE 65%2660826	7	4	0.341
ROBO RECEPTORS BIND AKAP5%REACTOME%R-HSA-9010642.1	7	4	0.341
APEX1-INDEPENDENT RESOLUTION OF AP SITES VIA THE SINGLE NUCLEOTIDE REPLACEMENT PATHWAY%REACTOME%R-HSA-5649702.1	7	4	0.341
FORMYL PEPTIDE RECEPTORS BIND FORMYL PEPTIDES AND MANY OTHER LIGANDS%REACTOME DATABASE ID RELEASE 65%444473	7	4	0.341
SIGNALING BY NOTCH1 T(7;9)(NOTCH1:M1580_K2555) TRANSLOCATION MUTANT%REACTOME DATABASE ID RELEASE 65%2660825	7	4	0.341
PHASE 3 - RAPID REPOLARISATION%REACTOME%R-HSA-5576890.1	7	4	0.341
POU5F1 (OCT4), SOX2, NANOG ACTIVATE GENES RELATED TO PROLIFERATION%REACTOME DATABASE ID RELEASE 65%2892247	7	4	0.341
RUNX2 REGULATES GENES INVOLVED IN CELL MIGRATION%REACTOME DATABASE ID RELEASE 65%8941332	7	4	0.341
PHASE 1 - INACTIVATION OF FAST NA+ CHANNELS%REACTOME DATABASE ID RELEASE 65%5576894	7	4	0.341
DISPLACEMENT OF DNA GLYCOSYLASE BY APEX1%REACTOME%R-HSA-110357.1	7	4	0.341
REGULATION OF CYTOSKELETAL REMODELING AND CELL SPREADING BY IPP COMPLEX COMPONENTS%REACTOME DATABASE ID RELEASE 65%446388	7	4	0.341
DOWNREGULATION OF ERBB4 SIGNALING%REACTOME%R-HSA-1253288.1	7	4	0.341
RECOGNITION AND ASSOCIATION OF DNA GLYCOSYLASE WITH SITE CONTAINING AN AFFECTED PYRIMIDINE%REACTOME%R-HSA-110328.1	7	4	0.341
ETHANOL OXIDATION%REACTOME%R-HSA-71384.2	7	4	0.341
DEPYRIMIDINATION%REACTOME DATABASE ID RELEASE 65%73928	7	4	0.341
POSITIVE REGULATION OF NON-CANONICAL WNT SIGNALING PATHWAY%GOBP%GO:2000052	7	4	0.341
NEGATIVE REGULATION OF MYD88-INDEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0034128	7	4	0.341
SA NODE CELL ACTION POTENTIAL%GOBP%GO:0086015	7	4	0.341
REGULATION OF DENDRITIC CELL CHEMOTAXIS%GOBP%GO:2000508	7	4	0.341
PHARYNGEAL ARCH ARTERY MORPHOGENESIS%GOBP%GO:0061626	7	4	0.341
REGULATION OF GLUCOCORTICOID RECEPTOR SIGNALING PATHWAY%GOBP%GO:2000322	7	4	0.341
ANGIOGENESIS INVOLVED IN WOUND HEALING%GOBP%GO:0060055	7	4	0.341
MARGINAL ZONE B CELL DIFFERENTIATION%GOBP%GO:0002315	7	4	0.341
RIBONUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS%GOBP%GO:0009158	7	4	0.341
TRANSCRIPTION-DEPENDENT TETHERING OF RNA POLYMERASE II GENE DNA AT NUCLEAR PERIPHERY%GOBP%GO:0000972	7	4	0.341
REPLACEMENT OSSIFICATION%GOBP%GO:0036075	7	4	0.341
NEGATIVE REGULATION OF CYCLIN-DEPENDENT PROTEIN SERINE/THREONINE KINASE ACTIVITY INVOLVED IN G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0031658	7	4	0.341
PURINE NUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS%GOBP%GO:0009128	7	4	0.341
REGULATION OF NATURAL KILLER CELL CHEMOTAXIS%GOBP%GO:2000501	7	4	0.341
NEGATIVE REGULATION OF HUMORAL IMMUNE RESPONSE%GOBP%GO:0002921	7	4	0.341
MALATE METABOLIC PROCESS%GOBP%GO:0006108	7	4	0.341
TRNA CATABOLIC PROCESS%GOBP%GO:0016078	7	4	0.341
BLASTODERM SEGMENTATION%GOBP%GO:0007350	7	4	0.341
MITOCHONDRIAL TRANSCRIPTION%GOBP%GO:0006390	7	4	0.341
NEGATIVE REGULATION OF PHOSPHOLIPID METABOLIC PROCESS%GOBP%GO:1903726	7	4	0.341
MIRNA MEDIATED INHIBITION OF TRANSLATION%GOBP%GO:0035278	7	4	0.341
MITOTIC SPINDLE MIDZONE ASSEMBLY%GOBP%GO:0051256	7	4	0.341
PRE-MIRNA PROCESSING%GOBP%GO:0031054	7	4	0.341
