name	descr	pvalue	qvalue
MESODERM DEVELOPMENT%GOBP%GO:0007498	MESODERM DEVELOPMENT%GOBP%GO:0007498	0.0753	0.559301380991064
POSITIVE REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION%GOBP%GO:1903557	POSITIVE REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION%GOBP%GO:1903557	0.0753	0.559301380991064
NEGATIVE REGULATION OF CELL-SUBSTRATE ADHESION%GOBP%GO:0010812	NEGATIVE REGULATION OF CELL-SUBSTRATE ADHESION%GOBP%GO:0010812	0.0753	0.559301380991064
G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0000082	G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0000082	0.076	0.559301380991064
MONOVALENT INORGANIC CATION TRANSPORT%GOBP%GO:0015672	MONOVALENT INORGANIC CATION TRANSPORT%GOBP%GO:0015672	0.0763	0.559301380991064
MUSCLE CONTRACTION%GOBP%GO:0006936	MUSCLE CONTRACTION%GOBP%GO:0006936	0.0763	0.559301380991064
NEGATIVE REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902532	NEGATIVE REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902532	0.0764	0.559301380991064
REGULATION OF B CELL ACTIVATION%GOBP%GO:0050864	REGULATION OF B CELL ACTIVATION%GOBP%GO:0050864	0.0764	0.559301380991064
BIOCARTA_PLATELETAPP_PATHWAY%MSIGDB_C2%BIOCARTA_PLATELETAPP_PATHWAY	BIOCARTA_PLATELETAPP_PATHWAY%MSIGDB_C2%BIOCARTA_PLATELETAPP_PATHWAY	0.0765	0.559301380991064
REMOVAL OF THE FLAP INTERMEDIATE FROM THE C-STRAND%REACTOME DATABASE ID RELEASE 65%174437	REMOVAL OF THE FLAP INTERMEDIATE FROM THE C-STRAND%REACTOME DATABASE ID RELEASE 65%174437	0.0765	0.559301380991064
O2 CO2 EXCHANGE IN ERYTHROCYTES%REACTOME%R-HSA-1480926.1	O2 CO2 EXCHANGE IN ERYTHROCYTES%REACTOME%R-HSA-1480926.1	0.0765	0.559301380991064
ACETYLCHOLINE REGULATES INSULIN SECRETION%REACTOME%R-HSA-399997.1	ACETYLCHOLINE REGULATES INSULIN SECRETION%REACTOME%R-HSA-399997.1	0.0765	0.559301380991064
ERYTHROCYTES TAKE UP CARBON DIOXIDE AND RELEASE OXYGEN%REACTOME DATABASE ID RELEASE 65%1237044	ERYTHROCYTES TAKE UP CARBON DIOXIDE AND RELEASE OXYGEN%REACTOME DATABASE ID RELEASE 65%1237044	0.0765	0.559301380991064
RESPONSE TO ANGIOTENSIN%GOBP%GO:1990776	RESPONSE TO ANGIOTENSIN%GOBP%GO:1990776	0.0765	0.559301380991064
REGULATION OF AMYLOID-BETA CLEARANCE%GOBP%GO:1900221	REGULATION OF AMYLOID-BETA CLEARANCE%GOBP%GO:1900221	0.0765	0.559301380991064
REGULATION OF DENDRITIC CELL APOPTOTIC PROCESS%GOBP%GO:2000668	REGULATION OF DENDRITIC CELL APOPTOTIC PROCESS%GOBP%GO:2000668	0.0765	0.559301380991064
SCHWANN CELL DIFFERENTIATION%GOBP%GO:0014037	SCHWANN CELL DIFFERENTIATION%GOBP%GO:0014037	0.0765	0.559301380991064
PHENOL-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0046189	PHENOL-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0046189	0.0765	0.559301380991064
POSITIVE REGULATION OF REGULATORY T CELL DIFFERENTIATION%GOBP%GO:0045591	POSITIVE REGULATION OF REGULATORY T CELL DIFFERENTIATION%GOBP%GO:0045591	0.0765	0.559301380991064
REGULATION OF METALLOPEPTIDASE ACTIVITY%GOBP%GO:1905048	REGULATION OF METALLOPEPTIDASE ACTIVITY%GOBP%GO:1905048	0.0765	0.559301380991064
REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE BY CIRCULATORY RENIN-ANGIOTENSIN%GOBP%GO:0001991	REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE BY CIRCULATORY RENIN-ANGIOTENSIN%GOBP%GO:0001991	0.0765	0.559301380991064
POSITIVE REGULATION OF TYPE 2 IMMUNE RESPONSE%GOBP%GO:0002830	POSITIVE REGULATION OF TYPE 2 IMMUNE RESPONSE%GOBP%GO:0002830	0.0765	0.559301380991064
INTERLEUKIN-2-MEDIATED SIGNALING PATHWAY%GOBP%GO:0038110	INTERLEUKIN-2-MEDIATED SIGNALING PATHWAY%GOBP%GO:0038110	0.0765	0.559301380991064
MITOCHONDRIAL TRNA PROCESSING%GOBP%GO:0090646	MITOCHONDRIAL TRNA PROCESSING%GOBP%GO:0090646	0.0765	0.559301380991064
REGULATION OF GLOMERULUS DEVELOPMENT%GOBP%GO:0090192	REGULATION OF GLOMERULUS DEVELOPMENT%GOBP%GO:0090192	0.0765	0.559301380991064
SULFATION%GOBP%GO:0051923	SULFATION%GOBP%GO:0051923	0.0765	0.559301380991064
POSITIVE REGULATION OF SUPEROXIDE ANION GENERATION%GOBP%GO:0032930	POSITIVE REGULATION OF SUPEROXIDE ANION GENERATION%GOBP%GO:0032930	0.0765	0.559301380991064
REGULATION OF CARDIAC EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0062042	REGULATION OF CARDIAC EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0062042	0.0765	0.559301380991064
CELLULAR RESPONSE TO PROSTAGLANDIN STIMULUS%GOBP%GO:0071379	CELLULAR RESPONSE TO PROSTAGLANDIN STIMULUS%GOBP%GO:0071379	0.0765	0.559301380991064
CARDIAC LEFT VENTRICLE MORPHOGENESIS%GOBP%GO:0003214	CARDIAC LEFT VENTRICLE MORPHOGENESIS%GOBP%GO:0003214	0.0765	0.559301380991064
EMBRYO IMPLANTATION%GOBP%GO:0007566	EMBRYO IMPLANTATION%GOBP%GO:0007566	0.0765	0.559301380991064
NEGATIVE REGULATION OF SODIUM ION TRANSPORT%GOBP%GO:0010766	NEGATIVE REGULATION OF SODIUM ION TRANSPORT%GOBP%GO:0010766	0.0765	0.559301380991064
RESPONSE TO INTERLEUKIN-2%GOBP%GO:0070669	RESPONSE TO INTERLEUKIN-2%GOBP%GO:0070669	0.0765	0.559301380991064
CHAPERONE-MEDIATED PROTEIN TRANSPORT%GOBP%GO:0072321	CHAPERONE-MEDIATED PROTEIN TRANSPORT%GOBP%GO:0072321	0.0765	0.559301380991064
CELLULAR RESPONSE TO INTERLEUKIN-2%GOBP%GO:0071352	CELLULAR RESPONSE TO INTERLEUKIN-2%GOBP%GO:0071352	0.0765	0.559301380991064
POSITIVE REGULATION OF CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:2000727	POSITIVE REGULATION OF CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:2000727	0.0765	0.559301380991064
MITOTIC NUCLEAR ENVELOPE DISASSEMBLY%GOBP%GO:0007077	MITOTIC NUCLEAR ENVELOPE DISASSEMBLY%GOBP%GO:0007077	0.0765	0.559301380991064
REGULATION OF KETONE BIOSYNTHETIC PROCESS%GOBP%GO:0010566	REGULATION OF KETONE BIOSYNTHETIC PROCESS%GOBP%GO:0010566	0.0765	0.559301380991064
POSITIVE REGULATION OF COLLAGEN BIOSYNTHETIC PROCESS%GOBP%GO:0032967	POSITIVE REGULATION OF COLLAGEN BIOSYNTHETIC PROCESS%GOBP%GO:0032967	0.0765	0.559301380991064
METANEPHRIC MESENCHYME DEVELOPMENT%GOBP%GO:0072075	METANEPHRIC MESENCHYME DEVELOPMENT%GOBP%GO:0072075	0.0765	0.559301380991064
REGULATION OF PROTEIN KINASE C SIGNALING%GOBP%GO:0090036	REGULATION OF PROTEIN KINASE C SIGNALING%GOBP%GO:0090036	0.0765	0.559301380991064
REPLICATIVE SENESCENCE%GOBP%GO:0090399	REPLICATIVE SENESCENCE%GOBP%GO:0090399	0.0765	0.559301380991064
RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS%GOBP%GO:0000375	RNA SPLICING, VIA TRANSESTERIFICATION REACTIONS%GOBP%GO:0000375	0.077	0.562043795620438
FOXM1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXM1 TRANSCRIPTION FACTOR NETWORK	FOXM1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXM1 TRANSCRIPTION FACTOR NETWORK	0.077	0.562043795620438
REPRODUCTIVE PROCESS%GOBP%GO:0022414	REPRODUCTIVE PROCESS%GOBP%GO:0022414	0.0777	0.566693679092383
PHAGOCYTOSIS%GOBP%GO:0006909	PHAGOCYTOSIS%GOBP%GO:0006909	0.0781	0.56914979757085
RNA CATABOLIC PROCESS%GOBP%GO:0006401	RNA CATABOLIC PROCESS%GOBP%GO:0006401	0.0783	0.570145631067961
CELLULAR RESPONSE TO DRUG%GOBP%GO:0035690	CELLULAR RESPONSE TO DRUG%GOBP%GO:0035690	0.0785	0.570289855072464
MUSCLE CONTRACTION%REACTOME DATABASE ID RELEASE 65%397014	MUSCLE CONTRACTION%REACTOME DATABASE ID RELEASE 65%397014	0.0785	0.570289855072464
PID_FOXM1_PATHWAY%MSIGDB_C2%PID_FOXM1_PATHWAY	PID_FOXM1_PATHWAY%MSIGDB_C2%PID_FOXM1_PATHWAY	0.0787	0.570289855072464
PID_NFAT_TFPATHWAY%MSIGDB_C2%PID_NFAT_TFPATHWAY	PID_NFAT_TFPATHWAY%MSIGDB_C2%PID_NFAT_TFPATHWAY	0.0787	0.570289855072464
REGULATION OF LIPID KINASE ACTIVITY%GOBP%GO:0043550	REGULATION OF LIPID KINASE ACTIVITY%GOBP%GO:0043550	0.0787	0.570289855072464
HEART VALVE DEVELOPMENT%GOBP%GO:0003170	HEART VALVE DEVELOPMENT%GOBP%GO:0003170	0.0787	0.570289855072464
NEGATIVE REGULATION OF TRANSFERASE ACTIVITY%GOBP%GO:0051348	NEGATIVE REGULATION OF TRANSFERASE ACTIVITY%GOBP%GO:0051348	0.0792	0.573451327433628
PID_P73PATHWAY%MSIGDB_C2%PID_P73PATHWAY	PID_P73PATHWAY%MSIGDB_C2%PID_P73PATHWAY	0.0795	0.574698795180723
P73 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P73 TRANSCRIPTION FACTOR NETWORK	P73 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P73 TRANSCRIPTION FACTOR NETWORK	0.0795	0.574698795180723
DNA DAMAGE RESPONSE, DETECTION OF DNA DAMAGE%GOBP%GO:0042769	DNA DAMAGE RESPONSE, DETECTION OF DNA DAMAGE%GOBP%GO:0042769	0.0803	0.577265625
MYELOID CELL HOMEOSTASIS%GOBP%GO:0002262	MYELOID CELL HOMEOSTASIS%GOBP%GO:0002262	0.0803	0.577265625
HEART VALVE MORPHOGENESIS%GOBP%GO:0003179	HEART VALVE MORPHOGENESIS%GOBP%GO:0003179	0.0803	0.577265625
NUCLEIC ACID PHOSPHODIESTER BOND HYDROLYSIS%GOBP%GO:0090305	NUCLEIC ACID PHOSPHODIESTER BOND HYDROLYSIS%GOBP%GO:0090305	0.0804	0.577265625
PID_CXCR4_PATHWAY%MSIGDB_C2%PID_CXCR4_PATHWAY	PID_CXCR4_PATHWAY%MSIGDB_C2%PID_CXCR4_PATHWAY	0.0805	0.577265625
PID_IL12_2PATHWAY%MSIGDB_C2%PID_IL12_2PATHWAY	PID_IL12_2PATHWAY%MSIGDB_C2%PID_IL12_2PATHWAY	0.0808	0.577265625
POSITIVE REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050671	POSITIVE REGULATION OF LYMPHOCYTE PROLIFERATION%GOBP%GO:0050671	0.0819	0.577265625
REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0043370	REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0043370	0.0819	0.577265625
KIDNEY MORPHOGENESIS%GOBP%GO:0060993	KIDNEY MORPHOGENESIS%GOBP%GO:0060993	0.0819	0.577265625
SKELETAL MUSCLE ORGAN DEVELOPMENT%GOBP%GO:0060538	SKELETAL MUSCLE ORGAN DEVELOPMENT%GOBP%GO:0060538	0.0819	0.577265625
TCR SIGNALING%REACTOME%R-HSA-202403.4	TCR SIGNALING%REACTOME%R-HSA-202403.4	0.082	0.577265625
BIOCARTA_MCM_PATHWAY%MSIGDB_C2%BIOCARTA_MCM_PATHWAY	BIOCARTA_MCM_PATHWAY%MSIGDB_C2%BIOCARTA_MCM_PATHWAY	0.0821	0.577265625
BIOCARTA_AMI_PATHWAY%MSIGDB_C2%BIOCARTA_AMI_PATHWAY	BIOCARTA_AMI_PATHWAY%MSIGDB_C2%BIOCARTA_AMI_PATHWAY	0.0821	0.577265625
P130CAS LINKAGE TO MAPK SIGNALING FOR INTEGRINS%REACTOME%R-HSA-372708.1	P130CAS LINKAGE TO MAPK SIGNALING FOR INTEGRINS%REACTOME%R-HSA-372708.1	0.0821	0.577265625
MRNA CIS SPLICING, VIA SPLICEOSOME%GOBP%GO:0045292	MRNA CIS SPLICING, VIA SPLICEOSOME%GOBP%GO:0045292	0.0821	0.577265625
POSITIVE REGULATION OF POSITIVE CHEMOTAXIS%GOBP%GO:0050927	POSITIVE REGULATION OF POSITIVE CHEMOTAXIS%GOBP%GO:0050927	0.0821	0.577265625
DETECTION OF MECHANICAL STIMULUS%GOBP%GO:0050982	DETECTION OF MECHANICAL STIMULUS%GOBP%GO:0050982	0.0821	0.577265625
LIPID STORAGE%GOBP%GO:0019915	LIPID STORAGE%GOBP%GO:0019915	0.0821	0.577265625
RESPIRATORY BURST%GOBP%GO:0045730	RESPIRATORY BURST%GOBP%GO:0045730	0.0821	0.577265625
POSITIVE REGULATION OF MACROPHAGE DERIVED FOAM CELL DIFFERENTIATION%GOBP%GO:0010744	POSITIVE REGULATION OF MACROPHAGE DERIVED FOAM CELL DIFFERENTIATION%GOBP%GO:0010744	0.0821	0.577265625
DNA LIGATION INVOLVED IN DNA REPAIR%GOBP%GO:0051103	DNA LIGATION INVOLVED IN DNA REPAIR%GOBP%GO:0051103	0.0821	0.577265625
POSITIVE REGULATION OF METANEPHROS DEVELOPMENT%GOBP%GO:0072216	POSITIVE REGULATION OF METANEPHROS DEVELOPMENT%GOBP%GO:0072216	0.0821	0.577265625
CHAPERONE-MEDIATED PROTEIN COMPLEX ASSEMBLY%GOBP%GO:0051131	CHAPERONE-MEDIATED PROTEIN COMPLEX ASSEMBLY%GOBP%GO:0051131	0.0821	0.577265625
T CELL PROLIFERATION%GOBP%GO:0042098	T CELL PROLIFERATION%GOBP%GO:0042098	0.0821	0.577265625
NEGATIVE REGULATION OF GENE SILENCING BY RNA%GOBP%GO:0060967	NEGATIVE REGULATION OF GENE SILENCING BY RNA%GOBP%GO:0060967	0.0821	0.577265625
MEMBRANE DISASSEMBLY%GOBP%GO:0030397	MEMBRANE DISASSEMBLY%GOBP%GO:0030397	0.0821	0.577265625
CELLULAR RESPONSE TO EXOGENOUS DSRNA%GOBP%GO:0071360	CELLULAR RESPONSE TO EXOGENOUS DSRNA%GOBP%GO:0071360	0.0821	0.577265625
NEGATIVE REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:1901017	NEGATIVE REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:1901017	0.0821	0.577265625
REGULATION OF COLLAGEN BIOSYNTHETIC PROCESS%GOBP%GO:0032965	REGULATION OF COLLAGEN BIOSYNTHETIC PROCESS%GOBP%GO:0032965	0.0821	0.577265625
CELL DIFFERENTIATION INVOLVED IN METANEPHROS DEVELOPMENT%GOBP%GO:0072202	CELL DIFFERENTIATION INVOLVED IN METANEPHROS DEVELOPMENT%GOBP%GO:0072202	0.0821	0.577265625
RRNA METHYLATION%GOBP%GO:0031167	RRNA METHYLATION%GOBP%GO:0031167	0.0821	0.577265625
NUCLEAR ENVELOPE DISASSEMBLY%GOBP%GO:0051081	NUCLEAR ENVELOPE DISASSEMBLY%GOBP%GO:0051081	0.0821	0.577265625
NEGATIVE REGULATION OF POSTTRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060149	NEGATIVE REGULATION OF POSTTRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060149	0.0821	0.577265625
REGULATION OF SUPEROXIDE ANION GENERATION%GOBP%GO:0032928	REGULATION OF SUPEROXIDE ANION GENERATION%GOBP%GO:0032928	0.0821	0.577265625
REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL PROLIFERATION INVOLVED IN SPROUTING ANGIOGENESIS%GOBP%GO:1903587	REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL PROLIFERATION INVOLVED IN SPROUTING ANGIOGENESIS%GOBP%GO:1903587	0.0821	0.577265625
HALLMARK_XENOBIOTIC_METABOLISM%MSIGDB_C2%HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM%MSIGDB_C2%HALLMARK_XENOBIOTIC_METABOLISM	0.0822	0.57751756440281
NEGATIVE REGULATION OF ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0034766	NEGATIVE REGULATION OF ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0034766	0.0831	0.582930631332814
REGULATION OF INTERLEUKIN-6 PRODUCTION%GOBP%GO:0032675	REGULATION OF INTERLEUKIN-6 PRODUCTION%GOBP%GO:0032675	0.0831	0.582930631332814
HALLMARK_ANGIOGENESIS%MSIGDB_C2%HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS%MSIGDB_C2%HALLMARK_ANGIOGENESIS	0.0835	0.584824902723735
AXIS SPECIFICATION%GOBP%GO:0009798	AXIS SPECIFICATION%GOBP%GO:0009798	0.0835	0.584824902723735
CELLULAR RESPONSE TO OXYGEN-CONTAINING COMPOUND%GOBP%GO:1901701	CELLULAR RESPONSE TO OXYGEN-CONTAINING COMPOUND%GOBP%GO:1901701	0.0842	0.587701317715959
RECOGNITION OF DNA DAMAGE BY PCNA-CONTAINING REPLICATION COMPLEX%REACTOME DATABASE ID RELEASE 65%110314	RECOGNITION OF DNA DAMAGE BY PCNA-CONTAINING REPLICATION COMPLEX%REACTOME DATABASE ID RELEASE 65%110314	0.0849	0.587701317715959
REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE MEDIATED BY A CHEMICAL SIGNAL%GOBP%GO:0003044	REGULATION OF SYSTEMIC ARTERIAL BLOOD PRESSURE MEDIATED BY A CHEMICAL SIGNAL%GOBP%GO:0003044	0.0849	0.587701317715959
REGULATION OF MONONUCLEAR CELL MIGRATION%GOBP%GO:0071675	REGULATION OF MONONUCLEAR CELL MIGRATION%GOBP%GO:0071675	0.0849	0.587701317715959
HALLMARK_FATTY_ACID_METABOLISM%MSIGDB_C2%HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM%MSIGDB_C2%HALLMARK_FATTY_ACID_METABOLISM	0.0855	0.587701317715959
POSITIVE REGULATION OF ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002821	POSITIVE REGULATION OF ADAPTIVE IMMUNE RESPONSE%GOBP%GO:0002821	0.0855	0.587701317715959
BIOCARTA_INTRINSIC_PATHWAY%MSIGDB_C2%BIOCARTA_INTRINSIC_PATHWAY	BIOCARTA_INTRINSIC_PATHWAY%MSIGDB_C2%BIOCARTA_INTRINSIC_PATHWAY	0.0857	0.587701317715959
POLYMERASE SWITCHING ON THE C-STRAND OF THE TELOMERE%REACTOME DATABASE ID RELEASE 65%174411	POLYMERASE SWITCHING ON THE C-STRAND OF THE TELOMERE%REACTOME DATABASE ID RELEASE 65%174411	0.0857	0.587701317715959
SYNTHESIS OF PROSTAGLANDINS (PG) AND THROMBOXANES (TX)%REACTOME%R-HSA-2162123.1	SYNTHESIS OF PROSTAGLANDINS (PG) AND THROMBOXANES (TX)%REACTOME%R-HSA-2162123.1	0.0857	0.587701317715959
LEADING STRAND SYNTHESIS%REACTOME DATABASE ID RELEASE 65%69109	LEADING STRAND SYNTHESIS%REACTOME DATABASE ID RELEASE 65%69109	0.0857	0.587701317715959
POLYMERASE SWITCHING%REACTOME%R-HSA-69091.2	POLYMERASE SWITCHING%REACTOME%R-HSA-69091.2	0.0857	0.587701317715959
ACYL CHAIN REMODELLING OF PS%REACTOME DATABASE ID RELEASE 65%1482801	ACYL CHAIN REMODELLING OF PS%REACTOME DATABASE ID RELEASE 65%1482801	0.0857	0.587701317715959
POSITIVE REGULATION OF PROTEIN PROCESSING%GOBP%GO:0010954	POSITIVE REGULATION OF PROTEIN PROCESSING%GOBP%GO:0010954	0.0857	0.587701317715959
REGULATION OF ISOTYPE SWITCHING%GOBP%GO:0045191	REGULATION OF ISOTYPE SWITCHING%GOBP%GO:0045191	0.0857	0.587701317715959
REGULATION OF PROTEIN LOCALIZATION TO CHROMOSOME, TELOMERIC REGION%GOBP%GO:1904814	REGULATION OF PROTEIN LOCALIZATION TO CHROMOSOME, TELOMERIC REGION%GOBP%GO:1904814	0.0857	0.587701317715959
REGULATION OF PLATELET-DERIVED GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0010640	REGULATION OF PLATELET-DERIVED GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0010640	0.0857	0.587701317715959
POSITIVE REGULATION OF CARDIOCYTE DIFFERENTIATION%GOBP%GO:1905209	POSITIVE REGULATION OF CARDIOCYTE DIFFERENTIATION%GOBP%GO:1905209	0.0857	0.587701317715959
NEGATIVE REGULATION OF FOCAL ADHESION ASSEMBLY%GOBP%GO:0051895	NEGATIVE REGULATION OF FOCAL ADHESION ASSEMBLY%GOBP%GO:0051895	0.0857	0.587701317715959
PHOSPHATIDYLSERINE ACYL-CHAIN REMODELING%GOBP%GO:0036150	PHOSPHATIDYLSERINE ACYL-CHAIN REMODELING%GOBP%GO:0036150	0.0857	0.587701317715959
DETECTION OF BIOTIC STIMULUS%GOBP%GO:0009595	DETECTION OF BIOTIC STIMULUS%GOBP%GO:0009595	0.0857	0.587701317715959
MRNA TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:0042789	MRNA TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:0042789	0.0857	0.587701317715959
MULTI-ORGANISM CELLULAR PROCESS%GOBP%GO:0044764	MULTI-ORGANISM CELLULAR PROCESS%GOBP%GO:0044764	0.0857	0.587701317715959
RESPONSE TO CHOLESTEROL%GOBP%GO:0070723	RESPONSE TO CHOLESTEROL%GOBP%GO:0070723	0.0857	0.587701317715959
GENERATION OF SECOND MESSENGER MOLECULES%REACTOME DATABASE ID RELEASE 65%202433	GENERATION OF SECOND MESSENGER MOLECULES%REACTOME DATABASE ID RELEASE 65%202433	0.0863	0.587701317715959
REGULATION OF PRI-MIRNA TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:1902893	REGULATION OF PRI-MIRNA TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:1902893	0.0863	0.587701317715959
NEGATIVE REGULATION OF LYMPHOCYTE DIFFERENTIATION%GOBP%GO:0045620	NEGATIVE REGULATION OF LYMPHOCYTE DIFFERENTIATION%GOBP%GO:0045620	0.0863	0.587701317715959
RECEPTOR METABOLIC PROCESS%GOBP%GO:0043112	RECEPTOR METABOLIC PROCESS%GOBP%GO:0043112	0.0869	0.587701317715959
SIGNAL AMPLIFICATION%REACTOME DATABASE ID RELEASE 65%392518	SIGNAL AMPLIFICATION%REACTOME DATABASE ID RELEASE 65%392518	0.0874	0.587701317715959
DEVELOPMENT OF PRIMARY FEMALE SEXUAL CHARACTERISTICS%GOBP%GO:0046545	DEVELOPMENT OF PRIMARY FEMALE SEXUAL CHARACTERISTICS%GOBP%GO:0046545	0.0874	0.587701317715959
BIOCARTA_TOB1_PATHWAY%MSIGDB_C2%BIOCARTA_TOB1_PATHWAY	BIOCARTA_TOB1_PATHWAY%MSIGDB_C2%BIOCARTA_TOB1_PATHWAY	0.0878	0.587701317715959
TRANSLESION SYNTHESIS BY REV1%REACTOME DATABASE ID RELEASE 65%110312	TRANSLESION SYNTHESIS BY REV1%REACTOME DATABASE ID RELEASE 65%110312	0.0878	0.587701317715959
NICOTINAMIDE SALVAGING%REACTOME DATABASE ID RELEASE 65%197264	NICOTINAMIDE SALVAGING%REACTOME DATABASE ID RELEASE 65%197264	0.0878	0.587701317715959
RIBOSOMAL SMALL SUBUNIT ASSEMBLY%GOBP%GO:0000028	RIBOSOMAL SMALL SUBUNIT ASSEMBLY%GOBP%GO:0000028	0.0878	0.587701317715959
REGULATION OF CELLULAR EXTRAVASATION%GOBP%GO:0002691	REGULATION OF CELLULAR EXTRAVASATION%GOBP%GO:0002691	0.0878	0.587701317715959
POSITIVE REGULATION OF PROTEIN MATURATION%GOBP%GO:1903319	POSITIVE REGULATION OF PROTEIN MATURATION%GOBP%GO:1903319	0.0878	0.587701317715959
CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002294	CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002294	0.0878	0.587701317715959
NEGATIVE REGULATION OF CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002719	NEGATIVE REGULATION OF CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002719	0.0878	0.587701317715959
REGULATION OF INTERLEUKIN-17 PRODUCTION%GOBP%GO:0032660	REGULATION OF INTERLEUKIN-17 PRODUCTION%GOBP%GO:0032660	0.0878	0.587701317715959
T-HELPER CELL DIFFERENTIATION%GOBP%GO:0042093	T-HELPER CELL DIFFERENTIATION%GOBP%GO:0042093	0.0878	0.587701317715959
DENDRITIC CELL MIGRATION%GOBP%GO:0036336	DENDRITIC CELL MIGRATION%GOBP%GO:0036336	0.0878	0.587701317715959
NEGATIVE REGULATION OF INTERLEUKIN-2 PRODUCTION%GOBP%GO:0032703	NEGATIVE REGULATION OF INTERLEUKIN-2 PRODUCTION%GOBP%GO:0032703	0.0878	0.587701317715959
P53-INDEPENDENT DNA DAMAGE RESPONSE%REACTOME DATABASE ID RELEASE 65%69610	P53-INDEPENDENT DNA DAMAGE RESPONSE%REACTOME DATABASE ID RELEASE 65%69610	0.088	0.587701317715959
P53-INDEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME DATABASE ID RELEASE 65%69613	P53-INDEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME DATABASE ID RELEASE 65%69613	0.088	0.587701317715959
UBIQUITIN MEDIATED DEGRADATION OF PHOSPHORYLATED CDC25A%REACTOME%R-HSA-69601.2	UBIQUITIN MEDIATED DEGRADATION OF PHOSPHORYLATED CDC25A%REACTOME%R-HSA-69601.2	0.088	0.587701317715959
TRNA PROCESSING IN THE NUCLEUS%REACTOME%R-HSA-6784531.5	TRNA PROCESSING IN THE NUCLEUS%REACTOME%R-HSA-6784531.5	0.088	0.587701317715959
PID_GLYPICAN_1PATHWAY%MSIGDB_C2%PID_GLYPICAN_1PATHWAY	PID_GLYPICAN_1PATHWAY%MSIGDB_C2%PID_GLYPICAN_1PATHWAY	0.0884	0.587701317715959
